PG,Luka Doncic (16336654),Luka Doncic,16336654,PG/G/UTIL,11100,GS@DAL 02/06/2021 08:30PM ET,DAL,56.38
PF/C,Giannis Antetokounmpo (16336657),Giannis Antetokounmpo,16336657,PF/C/F/UTIL,11000,MIL@CLE 02/06/2021 08:00PM ET,MIL,54.84
PG/SG,James Harden (16336661),James Harden,16336661,PG/SG/G/UTIL,10700,BKN@PHI 02/06/2021 08:00PM ET,BKN,53.83
C,Joel Embiid (16336665),Joel Embiid,16336665,C/UTIL,10500,BKN@PHI 02/06/2021 08:00PM ET,PHI,51.64
PG/SF,LeBron James (16336667),LeBron James,16336667,PG/SF/F/G/UTIL,10300,DET@LAL 02/06/2021 10:00PM ET,LAL,49.56
C,Karl-Anthony Towns (16336672),Karl-Anthony Towns,16336672,C/UTIL,9900,MIN@OKC 02/06/2021 08:00PM ET,MIN,51.5
PF/C,Kevin Durant (16336674),Kevin Durant,16336674,PF/C/F/UTIL,9800,BKN@PHI 02/06/2021 08:00PM ET,BKN,50.97
PG,Stephen Curry (16336678),Stephen Curry,16336678,PG/G/UTIL,9700,GS@DAL 02/06/2021 08:30PM ET,GS,47.89
PF/C,Anthony Davis (16336681),Anthony Davis,16336681,PF/C/F/UTIL,9600,DET@LAL 02/06/2021 10:00PM ET,LAL,44.34
PG,Trae Young (16336685),Trae Young,16336685,PG/G/UTIL,9500,TOR@ATL 02/06/2021 08:00PM ET,ATL,46.91
PG,Kyrie Irving (16336688),Kyrie Irving,16336688,PG/G/UTIL,9400,BKN@PHI 02/06/2021 08:00PM ET,BKN,45.89
C,Nikola Vucevic (16336691),Nikola Vucevic,16336691,C/UTIL,8900,CHI@ORL 02/06/2021 07:00PM ET,ORL,47.71
C,Christian Wood (16336693),Christian Wood,16336693,C/UTIL,8800,SA@HOU 02/06/2021 08:00PM ET,HOU,42.5
SG,Zach LaVine (16336695),Zach LaVine,16336695,SG/G/UTIL,8600,CHI@ORL 02/06/2021 07:00PM ET,CHI,44.33
C,Clint Capela (16336703),Clint Capela,16336703,C/UTIL,8500,TOR@ATL 02/06/2021 08:00PM ET,ATL,39.64
PG/SF,Ben Simmons (16336698),Ben Simmons,16336698,PG/SF/F/G/UTIL,8500,BKN@PHI 02/06/2021 08:00PM ET,PHI,40
PG/SG,Fred VanVleet (16336705),Fred VanVleet,16336705,PG/SG/G/UTIL,8400,TOR@ATL 02/06/2021 08:00PM ET,TOR,40.60
PF/C,Zion Williamson (16336709),Zion Williamson,16336709,PF/C/F/UTIL,8400,MEM@NO 02/06/2021 09:00PM ET,NO,39.31
SF/PF,Brandon Ingram (16336713),Brandon Ingram,16336713,SF/PF/F/UTIL,8300,MEM@NO 02/06/2021 09:00PM ET,NO,40.64
PF/C,Kristaps Porzingis (16336721),Kristaps Porzingis,16336721,PF/C/F/UTIL,8200,GS@DAL 02/06/2021 08:30PM ET,DAL,36.29
PG/SG,Victor Oladipo (16336717),Victor Oladipo,16336717,PG/SG/G/UTIL,8200,SA@HOU 02/06/2021 08:00PM ET,HOU,37.54
PG,Kyle Lowry (16336725),Kyle Lowry,16336725,PG/G/UTIL,8000,TOR@ATL 02/06/2021 08:00PM ET,TOR,39.41
C,Andre Drummond (16336728),Andre Drummond,16336728,C/UTIL,7900,MIL@CLE 02/06/2021 08:00PM ET,CLE,45.34
PF/C,Pascal Siakam (16336730),Pascal Siakam,16336730,PF/C/F/UTIL,7700,TOR@ATL 02/06/2021 08:00PM ET,TOR,39.96
PG,Jrue Holiday (16336734),Jrue Holiday,16336734,PG/G/UTIL,7700,MIL@CLE 02/06/2021 08:00PM ET,MIL,35.35
SF,Khris Middleton (16336740),Khris Middleton,16336740,SF/F/UTIL,7600,MIL@CLE 02/06/2021 08:00PM ET,MIL,39.62
PG,Ja Morant (16336743),Ja Morant,16336743,PG/G/UTIL,7600,MEM@NO 02/06/2021 09:00PM ET,MEM,34.47
PF,Tobias Harris (16336737),Tobias Harris,16336737,PF/F/UTIL,7600,BKN@PHI 02/06/2021 08:00PM ET,PHI,36.81
PG,John Wall (16336746),John Wall,16336746,PG/G/UTIL,7500,SA@HOU 02/06/2021 08:00PM ET,HOU,34.88
PF/C,John Collins (16336749),John Collins,16336749,PF/C/F/UTIL,7400,TOR@ATL 02/06/2021 08:00PM ET,ATL,33.32
PG/SG,Shai Gilgeous-Alexander (16336753),Shai Gilgeous-Alexander,16336753,PG/SG/G/UTIL,7400,MIN@OKC 02/06/2021 08:00PM ET,OKC,40.55
PG/SG,Collin Sexton (16336757),Collin Sexton,16336757,PG/SG/G/UTIL,7300,MIL@CLE 02/06/2021 08:00PM ET,CLE,35.22
SF/PF,DeMar DeRozan (16336761),DeMar DeRozan,16336761,SF/PF/F/UTIL,7200,SA@HOU 02/06/2021 08:00PM ET,SA,38.32
PG/SG,D'Angelo Russell (16336765),D'Angelo Russell,16336765,PG/SG/G/UTIL,7200,MIN@OKC 02/06/2021 08:00PM ET,MIN,34.80
SF/PF,Jerami Grant (16336769),Jerami Grant,16336769,SF/PF/F/UTIL,7100,DET@LAL 02/06/2021 10:00PM ET,DET,39.57
C,Jonas Valanciunas (16336773),Jonas Valanciunas,16336773,C/UTIL,7100,MEM@NO 02/06/2021 09:00PM ET,MEM,33.90
PF/C,Kevin Love (16336775),Kevin Love,16336775,PF/C/F/UTIL,7000,MIL@CLE 02/06/2021 08:00PM ET,CLE,21.75
PF/C,Jaren Jackson Jr. (16336779),Jaren Jackson Jr.,16336779,PF/C/F/UTIL,6900,MEM@NO 02/06/2021 09:00PM ET,MEM,0
SG/SF,Norman Powell (16336783),Norman Powell,16336783,SG/SF/F/G/UTIL,6800,TOR@ATL 02/06/2021 08:00PM ET,TOR,23.21
PF/C,Larry Nance Jr. (16336791),Larry Nance Jr.,16336791,PF/C/F/UTIL,6800,MIL@CLE 02/06/2021 08:00PM ET,CLE,28.44
PG,Dejounte Murray (16336788),Dejounte Murray,16336788,PG/G/UTIL,6800,SA@HOU 02/06/2021 08:00PM ET,SA,34.74
SG,Malik Beasley (16336795),Malik Beasley,16336795,SG/G/UTIL,6700,MIN@OKC 02/06/2021 08:00PM ET,MIN,32.38
PF/C,Lauri Markkanen (16336798),Lauri Markkanen,16336798,PF/C/F/UTIL,6700,CHI@ORL 02/06/2021 07:00PM ET,CHI,30.70
PG/SF,Aaron Gordon (16336802),Aaron Gordon,16336802,PG/SF/F/G/UTIL,6600,CHI@ORL 02/06/2021 07:00PM ET,ORL,32.09
PF/C,Thaddeus Young (16336807),Thaddeus Young,16336807,PF/C/F/UTIL,6600,CHI@ORL 02/06/2021 07:00PM ET,CHI,27.18
SG/SF,Andrew Wiggins (16336811),Andrew Wiggins,16336811,SG/SF/F/G/UTIL,6500,GS@DAL 02/06/2021 08:30PM ET,GS,30.90
C,Al Horford (16336816),Al Horford,16336816,C/UTIL,6500,MIN@OKC 02/06/2021 08:00PM ET,OKC,31.70
SF/PF,OG Anunoby (16336818),OG Anunoby,16336818,SF/PF/F/UTIL,6400,TOR@ATL 02/06/2021 08:00PM ET,TOR,29.93
PG,Darius Garland (16336825),Darius Garland,16336825,PG/G/UTIL,6400,MIL@CLE 02/06/2021 08:00PM ET,CLE,28.9
C,Jarrett Allen (16336828),Jarrett Allen,16336828,C/UTIL,6400,MIL@CLE 02/06/2021 08:00PM ET,CLE,29.98
SG,Evan Fournier (16336822),Evan Fournier,16336822,SG/G/UTIL,6400,CHI@ORL 02/06/2021 07:00PM ET,ORL,29.30
SF/PF,De'Andre Hunter (16336832),De'Andre Hunter,16336832,SF/PF/F/UTIL,6300,TOR@ATL 02/06/2021 08:00PM ET,ATL,30.40
C,DeMarcus Cousins (16336830),DeMarcus Cousins,16336830,C/UTIL,6300,SA@HOU 02/06/2021 08:00PM ET,HOU,24.53
SF/PF,Kelly Oubre Jr. (16336836),Kelly Oubre Jr.,16336836,SF/PF/F/UTIL,6200,GS@DAL 02/06/2021 08:30PM ET,GS,26.10
C,Steven Adams (16336852),Steven Adams,16336852,C/UTIL,6200,MEM@NO 02/06/2021 09:00PM ET,NO,27.76
PG/SG,Coby White (16336840),Coby White,16336840,PG/SG/G/UTIL,6200,CHI@ORL 02/06/2021 07:00PM ET,CHI,30.37
PG/SG,Eric Bledsoe (16336848),Eric Bledsoe,16336848,PG/SG/G/UTIL,6100,MEM@NO 02/06/2021 09:00PM ET,NO,25.61
